,contractSymbol,lastTradeDate,strike,Last,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
141,SPXW250403P05835000,2025-04-03 15:24:16+00:00,5835.0,394.25,370.8,388.5,229.45,139.22937,2.0,19,1.0000000000000003e-05,True,REGULAR,USD
142,SPXW250403P05840000,2025-04-03 17:14:10+00:00,5840.0,385.56,386.5,387.3,218.29,130.50159,96.0,89,1.0000000000000003e-05,True,REGULAR,USD
143,SPXW250403P05845000,2025-04-03 15:53:06+00:00,5845.0,402.7,390.1,397.5,230.30002,133.5847,7.0,15,1.0000000000000003e-05,True,REGULAR,USD
144,SPXW250403P05850000,2025-04-03 17:14:39+00:00,5850.0,395.15,396.5,397.2,217.18,122.0318,141.0,339,1.0000000000000003e-05,True,REGULAR,USD
145,SPXW250403P05855000,2025-04-03 14:44:26+00:00,5855.0,415.9,392.3,408.5,171.81999,70.39495,4.0,5,1.0000000000000003e-05,True,REGULAR,USD
146,SPXW250403P05860000,2025-04-03 16:54:26+00:00,5860.0,405.48,396.2,406.3,185.92001,84.67846,1.0,14,1.0000000000000003e-05,True,REGULAR,USD
147,SPXW250403P05870000,2025-04-02 16:13:28+00:00,5870.0,213.73,415.9,416.7,0.0,0.0,2.0,16,1.0000000000000003e-05,True,REGULAR,USD
148,SPXW250403P05875000,2025-04-03 16:54:26+00:00,5875.0,420.7,421.3,422.1,230.14001,120.77037,91.0,108,1.0000000000000003e-05,True,REGULAR,USD
149,SPXW250403P05880000,2025-04-03 14:51:54+00:00,5880.0,454.86,416.3,433.5,253.60999,126.01738,9.0,37,1.0000000000000003e-05,True,REGULAR,USD
150,SPXW250403P05885000,2025-04-03 14:49:53+00:00,5885.0,458.9,420.4,431.3,179.56,64.28009,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
151,SPXW250403P05890000,2025-04-03 14:31:33+00:00,5890.0,441.97,436.5,437.5,159.67001,56.560402,9.0,17,1.0000000000000003e-05,True,REGULAR,USD
152,SPXW250403P05900000,2025-04-03 15:03:54+00:00,5900.0,476.47,438.4,454.6,220.07,85.830734,13.0,81,1.0000000000000003e-05,True,REGULAR,USD
153,SPXW250403P05910000,2025-04-03 14:52:12+00:00,5910.0,486.13,446.3,456.3,200.38,70.12424,6.0,38,1.0000000000000003e-05,True,REGULAR,USD
154,SPXW250403P05920000,2025-04-03 13:49:42+00:00,5920.0,447.38,467.3,468.0,218.19,95.200485,4.0,26,1.0000000000000003e-05,True,REGULAR,USD
155,SPXW250403P05925000,2025-04-03 17:02:16+00:00,5925.0,470.39,470.5,471.2,190.52002,68.07447,9.0,48,1.0000000000000003e-05,True,REGULAR,USD
156,SPXW250403P05930000,2025-04-03 14:50:55+00:00,5930.0,506.01,468.4,484.6,219.84,76.821465,7.0,31,1.0000000000000003e-05,True,REGULAR,USD
157,SPXW250403P05940000,2025-04-03 13:37:44+00:00,5940.0,498.6,479.5,494.6,232.69,87.50705,3.0,25,1.0000000000000003e-05,True,REGULAR,USD
158,SPXW250403P05950000,2025-04-03 15:03:54+00:00,5950.0,525.97,496.5,497.2,234.85999,80.67741,3.0,16,1.0000000000000003e-05,True,REGULAR,USD
159,SPXW250403P05960000,2025-04-03 14:43:54+00:00,5960.0,520.82,506.5,507.2,207.16,66.046036,9.0,13,1.0000000000000003e-05,True,REGULAR,USD
